split,class_name,class_index,count,percentage,n_split
train,Neither,0,6458,45.7300665628098,14122
train,Only_Fire,1,770,5.452485483642543,14122
train,Only_Smoke,2,3836,27.163291318510126,14122
train,Both,3,3058,21.65415663503753,14122
val,Neither,0,1375,44.36915133914166,3099
val,Only_Fire,1,174,5.614714424007745,3099
val,Only_Smoke,2,845,27.266860277508872,3099
val,Both,3,705,22.749273959341725,3099
test,Neither,0,2005,46.56293543892243,4306
test,Only_Fire,1,220,5.1091500232234095,4306
test,Only_Smoke,2,1186,27.54296330701347,4306
test,Both,3,895,20.784951230840687,4306
all,Neither,0,9838,45.70074789798857,21527
all,Only_Fire,1,1164,5.4071630975054585,21527
all,Only_Smoke,2,5867,27.254145956241,21527
all,Both,3,4658,21.63794304826497,21527
