model_key,backend,precision,power_mode,latency_ms_median,fps,idle_power_w,load_power_w,delta_power_w,energy_total_mj,energy_marginal_mj,cpu_gpu_cv_w,soc_w,samples,load_seconds,host
iteration1,tensorrt[trtexec],fp16,25W,0.401367,2491.485348820406,4.646,16.052,11.406,6.443,4.578,7.684,3.867,147,20,jetson
iteration1,tensorrt[trtexec],fp32,25W,0.924866,1081.2377144364698,4.646,16.127,11.481,14.916,10.618,7.536,3.917,146,20,jetson
iteration1,onnxruntime[CPU],fp32,25W,15.12692850019448,66.10727352794345,4.646,8.185,3.538,123.808,53.52,3.546,1.549,141,20,jetson
iteration2,tensorrt[trtexec],fp16,25W,0.975586,1025.0249593577605,4.646,8.309,3.662,8.106,3.573,3.302,1.674,148,20,jetson
iteration2,tensorrt[trtexec],fp32,25W,1.31519,760.3464138261392,4.646,9.011,4.364,11.851,5.74,3.826,1.755,147,20,jetson
iteration2,onnxruntime[CPU],fp32,25W,5.62345100024686,177.82674730447582,4.646,8.18,3.534,46.002,19.873,3.427,1.597,142,20,jetson
iteration3,tensorrt[trtexec],fp16,25W,0.981201,1019.159173298845,4.646,8.304,3.657,8.147,3.588,3.311,1.674,148,20,jetson
iteration3,tensorrt[trtexec],fp32,25W,1.37207,728.82578877171,4.646,9.17,4.524,12.582,6.207,4.005,1.754,148,20,jetson
iteration3,onnxruntime[CPU],fp32,25W,5.620042500140698,177.93459746522643,4.646,8.178,3.531,45.96,19.847,3.424,1.597,143,20,jetson
iteration4,tensorrt[trtexec],fp16,25W,6.02112,166.08205782312925,4.646,14.243,9.597,85.762,57.784,6.028,3.797,149,20,jetson
iteration4,tensorrt[trtexec],fp32,25W,9.25171,108.08812641122562,4.646,15.452,10.806,142.957,99.969,6.373,4.303,147,20,jetson
iteration4,onnxruntime[CPU],fp32,25W,95.57381250010621,10.463117184939009,4.646,8.382,3.735,801.057,356.974,3.496,1.637,144,20,jetson
iteration5,tensorrt[trtexec],fp16,25W,4.35364,229.69285471467552,4.646,18.811,14.164,81.895,61.666,9.892,4.074,147,20,jetson
iteration5,tensorrt[trtexec],fp32,25W,11.7017,85.45766854388678,4.646,18.42,13.774,215.55,161.178,9.357,4.086,147,20,jetson
iteration5,onnxruntime[CPU],fp32,25W,290.51537249983994,3.4421586417102623,4.646,8.276,3.63,2404.429,1054.551,3.452,1.599,153,20,jetson
iteration1,tensorrt[trtexec],fp16,15W,0.604614,1653.94780802297,4.614,10.244,5.63,6.193,3.404,4.029,2.229,146,20,jetson
iteration1,tensorrt[trtexec],fp32,15W,1.37646,726.50131496738,4.614,10.264,5.65,14.127,7.777,3.929,2.268,146,20,jetson
iteration1,onnxruntime[CPU],fp32,15W,13.670129500042094,73.15219654626686,4.614,8.854,4.24,121.039,57.967,4.215,1.526,142,20,jetson
iteration2,tensorrt[trtexec],fp16,15W,1.30933,763.7493985473486,4.614,6.919,2.305,9.059,3.018,2.074,1.599,147,20,jetson
iteration2,tensorrt[trtexec],fp32,15W,1.79919,555.8056681062034,4.614,7.186,2.572,12.93,4.628,2.15,1.675,147,20,jetson
iteration2,onnxruntime[CPU],fp32,15W,5.142918999808899,194.4421057452311,4.614,8.849,4.235,45.509,21.78,4.059,1.597,143,20,jetson
iteration3,tensorrt[trtexec],fp16,15W,1.31958,757.816881128844,4.614,6.952,2.338,9.174,3.085,2.082,1.634,147,20,jetson
iteration3,tensorrt[trtexec],fp32,15W,1.88574,530.2957989966803,4.614,7.188,2.574,13.555,4.855,2.229,1.674,146,20,jetson
iteration3,onnxruntime[CPU],fp32,15W,5.129045999865411,194.96803109705792,4.614,8.827,4.213,45.274,21.609,4.059,1.597,143,20,jetson
iteration4,tensorrt[trtexec],fp16,15W,9.03455,110.68619909126632,4.614,9.176,4.562,82.898,41.214,3.178,2.152,148,20,jetson
iteration4,tensorrt[trtexec],fp32,15W,13.788,72.5268349289237,4.614,9.875,5.261,136.153,72.537,3.336,2.387,148,20,jetson
iteration4,onnxruntime[CPU],fp32,15W,87.80214649982554,11.389243200358285,4.614,8.801,4.187,772.719,367.61,3.924,1.623,157,20,jetson
iteration5,tensorrt[trtexec],fp16,15W,6.50684,153.68443053771108,4.614,11.565,6.951,75.25,45.228,5.07,2.265,146,20,jetson
iteration5,tensorrt[trtexec],fp32,15W,17.4768,57.218712807836674,4.614,11.378,6.765,198.859,118.223,4.776,2.29,146,20,jetson
iteration5,onnxruntime[CPU],fp32,15W,263.44485200002055,3.7958608506038374,4.614,9.007,4.393,2372.782,1157.277,4.155,1.595,144,20,jetson
iteration1,tensorrt[trtexec],fp16,MAXN_SUPER,0.37085,2696.508022111366,4.644,18.072,13.428,6.702,4.98,9.364,4.038,146,20,jetson
iteration1,tensorrt[trtexec],fp32,MAXN_SUPER,0.846069,1181.9366978343373,4.644,18.031,13.388,15.256,11.327,9.166,4.049,146,20,jetson
iteration1,onnxruntime[CPU],fp32,MAXN_SUPER,12.012691000109044,83.24529449653892,4.644,10.312,5.668,123.871,68.089,5.615,1.554,142,20,jetson
iteration2,tensorrt[trtexec],fp16,MAXN_SUPER,0.903992,1106.204479685661,4.644,9.042,4.398,8.174,3.976,4.008,1.703,147,20,jetson
iteration2,tensorrt[trtexec],fp32,MAXN_SUPER,1.21973,819.8535741516565,4.644,9.907,5.264,12.084,6.421,4.63,1.791,146,20,jetson
iteration2,onnxruntime[CPU],fp32,MAXN_SUPER,4.543968000007226,220.0719723374834,4.644,10.002,5.359,45.449,24.349,5.183,1.625,152,20,jetson
iteration3,tensorrt[trtexec],fp16,MAXN_SUPER,0.91626,1091.3932726518674,4.644,9.121,4.477,8.357,4.102,4.032,1.714,147,20,jetson
iteration3,tensorrt[trtexec],fp32,MAXN_SUPER,1.27051,787.0855010979842,4.644,10.109,5.466,12.844,6.944,4.838,1.791,147,20,jetson
iteration3,onnxruntime[CPU],fp32,MAXN_SUPER,4.565184500052055,219.04919724243288,4.644,9.956,5.312,45.45,24.251,5.146,1.624,153,20,jetson
iteration4,tensorrt[trtexec],fp16,MAXN_SUPER,5.54858,180.22629213240143,4.644,15.828,11.184,87.82,62.055,7.4,3.94,148,20,jetson
iteration4,tensorrt[trtexec],fp32,MAXN_SUPER,8.53247,117.19935727872469,4.644,17.055,12.411,145.521,105.9,7.688,4.445,147,20,jetson
iteration4,onnxruntime[CPU],fp32,MAXN_SUPER,77.75665099984508,12.860636191777246,4.644,10.507,5.864,817.015,455.947,5.504,1.694,144,20,jetson
iteration5,tensorrt[trtexec],fp16,MAXN_SUPER,3.95728,252.6988234342781,4.644,21.431,16.787,84.808,66.432,12.183,4.255,146,20,jetson
iteration5,tensorrt[trtexec],fp32,MAXN_SUPER,10.6643,93.77080539744755,4.644,20.464,15.821,218.239,168.719,11.124,4.222,146,20,jetson
iteration5,onnxruntime[CPU],fp32,MAXN_SUPER,230.8251025001482,4.3322844403344645,4.644,10.45,5.807,2412.153,1340.301,5.493,1.664,144,20,jetson
