order,tensor,producer_node,op_type,fp32_absmax,int8_absmax,fp32_all_zero,int8_all_zero,diverged_to_zero,scale,zero_point
0,/model.0/conv/Conv_output_0,/model.0/conv/Conv,Conv,98.19371795654297,97.81751251220703,0,0,0,,
1,/model.0/conv/Conv_output_0_QuantizeLinear_Output,/model.0/conv/Conv_output_0_QuantizeLinear,QuantizeLinear,98.19371795654297,255.0,0,0,0,0.684492290019989,129.0
2,/model.0/conv/Conv_output_0_DequantizeLinear_Output,/model.0/conv/Conv_output_0_DequantizeLinear,DequantizeLinear,98.19371795654297,86.9305191040039,0,0,0,0.684492290019989,129.0
3,/model.0/act/Sigmoid_output_0,/model.0/act/Sigmoid,Sigmoid,1.0,1.0,0,0,0,,
4,/model.0/act/Sigmoid_output_0_QuantizeLinear_Output,/model.0/act/Sigmoid_output_0_QuantizeLinear,QuantizeLinear,1.0,255.0,0,0,0,0.00392156932502985,0.0
5,/model.0/act/Sigmoid_output_0_DequantizeLinear_Output,/model.0/act/Sigmoid_output_0_DequantizeLinear,DequantizeLinear,1.0,1.0000001192092896,0,0,0,0.00392156932502985,0.0
6,/model.0/act/Mul_output_0,/model.0/act/Mul,Mul,98.19371795654297,86.24603271484375,0,0,0,,
7,/model.0/act/Mul_output_0_QuantizeLinear_Output,/model.0/act/Mul_output_0_QuantizeLinear,QuantizeLinear,98.19371795654297,255.0,0,0,0,0.339510053396225,1.0
8,/model.0/act/Mul_output_0_DequantizeLinear_Output,/model.0/act/Mul_output_0_DequantizeLinear,DequantizeLinear,98.19371795654297,86.23554992675781,0,0,0,0.339510053396225,1.0
9,/model.1/conv/Conv_output_0,/model.1/conv/Conv,Conv,177.55892944335938,177.0831756591797,0,0,0,,
10,/model.1/conv/Conv_output_0_QuantizeLinear_Output,/model.1/conv/Conv_output_0_QuantizeLinear,QuantizeLinear,177.55892944335938,241.0,0,0,0,1.563035011291504,128.0
11,/model.1/conv/Conv_output_0_DequantizeLinear_Output,/model.1/conv/Conv_output_0_DequantizeLinear,DequantizeLinear,177.55892944335938,176.62295532226562,0,0,0,1.563035011291504,128.0
12,/model.1/act/Sigmoid_output_0,/model.1/act/Sigmoid,Sigmoid,1.0,1.0,0,0,0,,
13,/model.1/act/Sigmoid_output_0_QuantizeLinear_Output,/model.1/act/Sigmoid_output_0_QuantizeLinear,QuantizeLinear,1.0,255.0,0,0,0,0.00392156932502985,0.0
14,/model.1/act/Sigmoid_output_0_DequantizeLinear_Output,/model.1/act/Sigmoid_output_0_DequantizeLinear,DequantizeLinear,1.0,1.0000001192092896,0,0,0,0.00392156932502985,0.0
15,/model.1/act/Mul_output_0,/model.1/act/Mul,Mul,177.55892944335938,176.6229705810547,0,0,0,,
16,/model.1/act/Mul_output_0_QuantizeLinear_Output,/model.1/act/Mul_output_0_QuantizeLinear,QuantizeLinear,177.55892944335938,227.0,0,0,0,0.7789710164070129,0.0
17,/model.1/act/Mul_output_0_DequantizeLinear_Output,/model.1/act/Mul_output_0_DequantizeLinear,DequantizeLinear,177.55892944335938,176.826416015625,0,0,0,0.7789710164070129,0.0
18,/model.2/cv1/conv/Conv_output_0,/model.2/cv1/conv/Conv,Conv,214.54830932617188,212.28640747070312,0,0,0,,
19,/model.2/cv1/conv/Conv_output_0_QuantizeLinear_Output,/model.2/cv1/conv/Conv_output_0_QuantizeLinear,QuantizeLinear,214.54830932617188,255.0,0,0,0,1.1230556964874268,155.0
20,/model.2/cv1/conv/Conv_output_0_DequantizeLinear_Output,/model.2/cv1/conv/Conv_output_0_DequantizeLinear,DequantizeLinear,214.54830932617188,174.07363891601562,0,0,0,1.1230556964874268,155.0
21,/model.2/cv1/act/Sigmoid_output_0,/model.2/cv1/act/Sigmoid,Sigmoid,1.0,1.0,0,0,0,,
22,/model.2/cv1/act/Sigmoid_output_0_QuantizeLinear_Output,/model.2/cv1/act/Sigmoid_output_0_QuantizeLinear,QuantizeLinear,1.0,255.0,0,0,0,0.00392156932502985,0.0
23,/model.2/cv1/act/Sigmoid_output_0_DequantizeLinear_Output,/model.2/cv1/act/Sigmoid_output_0_DequantizeLinear,DequantizeLinear,1.0,1.0000001192092896,0,0,0,0.00392156932502985,0.0
24,/model.2/cv1/act/Mul_output_0,/model.2/cv1/act/Mul,Mul,117.031982421875,112.30558776855469,0,0,0,,
25,/model.2/cv1/act/Mul_output_0_QuantizeLinear_Output,/model.2/cv1/act/Mul_output_0_QuantizeLinear,QuantizeLinear,117.031982421875,255.0,0,0,0,0.44233477115631104,1.0
26,/model.2/cv1/act/Mul_output_0_DequantizeLinear_Output,/model.2/cv1/act/Mul_output_0_DequantizeLinear,DequantizeLinear,117.031982421875,112.35303497314453,0,0,0,0.44233477115631104,1.0
