model,image,truth_fire,pred_fire_at_010,top_fire_conf,top_any_conf
fp32-control,AoF06723.jpg,False,False,0.0,0.0
fp32-control,AoF06724.jpg,False,False,0.0,0.0
fp32-control,AoF06725.jpg,False,False,0.0,0.0
fp32-control,AoF06726.jpg,False,False,0.0,0.0
fp32-control,AoF06727.jpg,False,False,0.0,0.0
fp32-control,AoF06728.jpg,False,False,0.0,0.0
fp32-control,AoF06729.jpg,False,False,0.0,0.0
fp32-control,AoF06730.jpg,False,False,0.0,0.0
fp32-control,AoF06731.jpg,False,False,0.0,0.0
fp32-control,AoF06732.jpg,False,False,0.0,0.0
fp32-control,AoF06733.jpg,False,False,0.0,0.0
fp32-control,AoF06734.jpg,False,False,0.0,0.0
fp32-control,AoF06735.jpg,False,False,0.0,0.0
fp32-control,AoF06736.jpg,False,False,0.0,0.0
fp32-control,AoF06737.jpg,False,False,0.0,0.0
fp32-control,AoF06738.jpg,False,False,0.0,0.0
fp32-control,AoF06739.jpg,False,False,0.0,0.0
fp32-control,AoF06740.jpg,False,False,0.0,0.0
fp32-control,AoF06741.jpg,False,False,0.0,0.0
fp32-control,AoF06742.jpg,False,False,0.0,0.0
fp32-control,AoF06743.jpg,False,False,0.0,0.0
fp32-control,AoF06744.jpg,False,False,0.0,0.0
fp32-control,AoF06745.jpg,False,False,0.0,0.0
fp32-control,AoF06746.jpg,False,False,0.0,0.0
fp32-control,AoF06747.jpg,False,False,0.0,0.0
fp32-control,AoF06748.jpg,False,False,0.0,0.0
fp32-control,AoF06749.jpg,False,False,0.0,0.0
fp32-control,AoF06750.jpg,False,False,0.0,0.0
fp32-control,AoF06751.jpg,False,False,0.0,0.0
fp32-control,AoF06752.jpg,False,False,0.0,0.0
fp32-control,AoF06753.jpg,False,False,0.0,0.0
fp32-control,AoF06754.jpg,False,False,0.0,0.0
fp32-control,AoF06755.jpg,False,False,0.0,0.0
fp32-control,AoF06756.jpg,False,False,0.0,0.0
fp32-control,AoF06757.jpg,False,False,0.0,0.0
fp32-control,AoF06758.jpg,False,False,0.0,0.0
fp32-control,AoF06759.jpg,False,False,0.0,0.0
fp32-control,AoF06760.jpg,False,False,0.0,0.0
fp32-control,AoF06761.jpg,False,False,0.0,0.0
fp32-control,AoF06762.jpg,False,False,0.0,0.0
fp32-control,AoF06763.jpg,False,False,0.0,0.0
fp32-control,AoF06764.jpg,False,False,0.0,0.16682451963424683
fp32-control,AoF06765.jpg,False,False,0.0,0.0
fp32-control,AoF06766.jpg,False,False,0.0,0.0
fp32-control,AoF06767.jpg,False,False,0.0,0.0
fp32-control,AoF06768.jpg,False,False,0.0,0.0
fp32-control,AoF06769.jpg,False,False,0.0,0.0
fp32-control,AoF06770.jpg,False,False,0.0,0.0
fp32-control,AoF06771.jpg,False,False,0.0,0.0
fp32-control,AoF06772.jpg,False,False,0.0,0.0
fp32-control,AoF06773.jpg,False,False,0.0,0.11801230907440186
fp32-control,AoF06774.jpg,False,False,0.0,0.2159441113471985
fp32-control,AoF06775.jpg,False,False,0.0,0.0
fp32-control,AoF06776.jpg,False,False,0.0,0.0
fp32-control,AoF06777.jpg,False,False,0.0,0.0
fp32-control,AoF06778.jpg,False,False,0.0,0.0
fp32-control,AoF06779.jpg,False,False,0.0,0.0
fp32-control,AoF06780.jpg,False,False,0.0,0.0
fp32-control,AoF06781.jpg,False,False,0.0,0.0
fp32-control,AoF06782.jpg,False,False,0.0,0.0
fp32-control,AoF06783.jpg,False,False,0.0,0.0
