model,threshold,tp,fp,fn,tn,precision_fire,recall_fire,f1_fire,macro_f1
fp32-control,0.05,1084,73,31,3118,0.9369057908383751,0.9721973094170404,0.9542253521126761,0.9689107833118585
fp32-control,0.1,1084,73,31,3118,0.9369057908383751,0.9721973094170404,0.9542253521126761,0.9689107833118585
fp32-control,0.15,1077,52,38,3139,0.953941541186891,0.9659192825112107,0.9598930481283422,0.9728799411495983
fp32-control,0.2,1059,39,56,3152,0.9644808743169399,0.9497757847533632,0.957071848169905,0.9711128892357572
fp32-control,0.25,1033,36,82,3155,0.9663236669784846,0.9264573991031391,0.945970695970696,0.9638067543325789
fp32-control,0.3,1005,27,110,3164,0.9738372093023255,0.9013452914798207,0.936190032603633,0.9574995019940051
int8-head-fp32,0.05,602,30,513,3161,0.9525316455696202,0.5399103139013453,0.6891814539210074,0.8050422928745604
int8-head-fp32,0.1,602,30,513,3161,0.9525316455696202,0.5399103139013453,0.6891814539210074,0.8050422928745604
int8-head-fp32,0.15,530,17,585,3174,0.9689213893967094,0.47533632286995514,0.6377858002406739,0.7755835476023514
int8-head-fp32,0.2,530,17,585,3174,0.9689213893967094,0.47533632286995514,0.6377858002406739,0.7755835476023514
int8-head-fp32,0.25,530,17,585,3174,0.9689213893967094,0.47533632286995514,0.6377858002406739,0.7755835476023514
int8-head-fp32,0.3,385,6,730,3185,0.9846547314578005,0.3452914798206278,0.5112881806108899,0.703856868239585
